Agent 1 Path:
(16, 5)
(15, 5)
(15, 6)
(15, 7)
(16, 7)
(16, 8)
(16, 9)
(16, 10)
(16, 11)
(16, 12)
(16, 13)
(16, 14)
(17, 14)
(18, 14)
(18, 15)
(18, 16)
(18, 17)
(19, 17)
(20, 17)
(20, 18)
(20, 19)
(20, 20)
(21, 20)
(22, 20)
(22, 21)
(22, 22)
(22, 23)
(22, 24)
(22, 23)
(22, 24)
(22, 25)
(22, 26)
(22, 27)
(22, 28)
(22, 29)
(23, 29)
(23, 30)
(23, 31)
(24, 31)

Agent 2 Path:
(29, 21)
(28, 21)
(27, 21)
(27, 22)
(26, 22)
(25, 22)
(25, 23)
(25, 24)
(24, 24)
(24, 25)
(23, 25)
(22, 25)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 25)
(22, 24)
(21, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)
(22, 24)

Agent 3 Path:
(1, 27)
(2, 27)
(3, 27)
(3, 28)
(4, 28)
(5, 28)
(6, 28)
(7, 28)
(8, 28)
(8, 29)
(9, 29)
(10, 29)
(10, 28)
(11, 28)
(12, 28)
(13, 28)
(14, 28)
(15, 28)
(16, 28)
(17, 28)
(18, 28)
(19, 28)
(19, 29)
(19, 30)
(20, 30)
(21, 30)
(21, 29)
(22, 29)
(22, 28)
(23, 28)
(23, 28)
(23, 28)
(23, 28)
(23, 28)
(23, 28)
(23, 28)
(23, 28)
(23, 28)
(23, 28)

Agent 4 Path:
(14, 20)
(14, 19)
(14, 18)
(14, 17)
(14, 16)
(15, 16)
(16, 16)
(17, 16)
(18, 16)
(18, 15)
(19, 15)
(20, 15)
(21, 15)
(22, 15)
(23, 15)
(24, 15)
(25, 15)
(26, 15)
(26, 16)
(27, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 17)
(28, 18)
(28, 17)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)
(28, 16)

Agent 5 Path:
(25, 29)
(24, 29)
(23, 29)
(22, 29)
(22, 28)
(22, 27)
(22, 26)
(22, 25)
(22, 24)
(22, 23)
(22, 22)
(22, 21)
(22, 20)
(21, 20)
(20, 20)
(20, 19)
(20, 18)
(20, 17)
(20, 16)
(20, 15)
(20, 14)
(20, 13)
(21, 13)
(21, 12)
(21, 11)
(20, 11)
(20, 10)
(20, 9)
(20, 8)
(20, 7)
(19, 7)
(18, 7)
(18, 7)
(18, 7)
(18, 7)
(18, 7)
(18, 7)
(18, 7)
(18, 7)

Agent 6 Path:
(8, 25)
(9, 25)
(9, 24)
(9, 23)
(9, 22)
(9, 21)
(9, 20)
(10, 20)
(10, 19)
(10, 18)
(10, 17)
(10, 16)
(9, 16)
(9, 15)
(9, 14)
(9, 13)
(9, 12)
(9, 11)
(9, 10)
(9, 9)
(9, 8)
(9, 7)
(9, 6)
(9, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)
(8, 5)

